filename,category,snr_level,method,processing_time_ms
1_106_plus_2-125875-A-13_-5dB.wav,crickets,-5dB,Wiener,1728.37
1_149_plus_2-80844-A-13_-5dB.wav,crickets,-5dB,Wiener,2.3
1_16_plus_3-129338-A-13_-5dB.wav,crickets,-5dB,Wiener,2.5
1_271_plus_3-134802-A-13_-5dB.wav,crickets,-5dB,Wiener,2.35
1_286_plus_3-155766-A-13_-5dB.wav,crickets,-5dB,Wiener,1.51
1_298_plus_1-59102-A-13_-5dB.wav,crickets,-5dB,Wiener,2.51
1_366_plus_2-96033-A-13_-5dB.wav,crickets,-5dB,Wiener,2.0
1_394_plus_1-7456-A-13_-5dB.wav,crickets,-5dB,Wiener,2.0
1_455_plus_3-163607-A-13_-5dB.wav,crickets,-5dB,Wiener,2.0
1_97_plus_5-210540-A-13_-5dB.wav,crickets,-5dB,Wiener,1.48
