filename,category,snr_level,method,processing_time_ms
1_180_plus_3-169907-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,2490.71
1_184_plus_1-17295-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,3.42
1_216_plus_2-94807-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,3.52
1_245_plus_4-210593-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,3.01
1_278_plus_2-122763-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,3.0
1_302_plus_4-194808-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,2.5
1_322_plus_5-259640-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,2.52
1_413_plus_4-204202-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,3.96
1_42_plus_2-92978-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,2.56
1_79_plus_5-243036-A-29_-5dB.wav,drinking_sipping,-5dB,Wavelet,2.71
