FILENAME,0dB,-5dB,Demucs
1_112_plus_1-58792-A-24_-5dB.wav,0.5624,0.4579,0.2161
1_118_plus_3-125418-A-24_-5dB.wav,0.6808,0.6057,0.4117
1_145_plus_1-52323-A-24_-5dB.wav,0.8451,0.7738,0.3792
1_154_plus_3-146873-A-24_-5dB.wav,0.5548,0.5952,0.4119
1_210_plus_4-155650-A-24_-5dB.wav,0.6358,0.6221,0.5537
1_229_plus_5-251489-A-24_-5dB.wav,0.4384,0.3866,0.3874
1_298_plus_3-151212-A-24_-5dB.wav,0.4749,0.4797,0.3097
1_330_plus_4-169726-A-24_-5dB.wav,0.7234,0.6335,0.4596
1_413_plus_1-63679-A-24_-5dB.wav,0.5252,0.4601,0.4306
1_483_plus_2-98676-A-24_-5dB.wav,0.7155,0.6474,0.5683
