FILENAME,0dB,-5dB,Demucs
1_127_plus_5-263831-B-6_0dB.wav,0.6347,0.6583,0.4458
1_152_plus_2-120587-A-6_0dB.wav,0.4240,0.3776,0.3809
1_246_plus_3-178096-A-6_0dB.wav,0.5824,0.3689,0.3089
1_296_plus_1-31251-A-6_0dB.wav,0.4965,0.3899,0.5680
1_321_plus_3-171281-A-6_0dB.wav,0.3478,0.2417,0.3625
1_355_plus_3-164216-A-6_0dB.wav,0.6528,0.3851,0.5610
1_38_plus_3-164216-B-6_0dB.wav,0.8167,0.6452,0.4628
1_427_plus_5-263831-A-6_0dB.wav,0.7228,0.4918,0.3309
1_465_plus_2-75726-A-6_0dB.wav,0.5878,0.5809,0.4576
1_75_plus_1-71030-A-6_0dB.wav,0.4722,0.4663,0.2030
