FILENAME,0dB,-5dB,Spectral
1_145_plus_2-66637-A-20_-5dB.wav,0.8480,0.6958,0.6756
1_254_plus_4-167077-B-20_-5dB.wav,0.5730,0.5114,0.5499
1_257_plus_4-185575-A-20_-5dB.wav,0.6152,0.5535,0.5128
1_341_plus_1-211527-C-20_-5dB.wav,0.5690,0.4575,0.3711
1_433_plus_1-22694-B-20_-5dB.wav,0.7733,0.6469,0.6152
1_458_plus_3-152007-A-20_-5dB.wav,0.8531,0.7769,0.7648
1_475_plus_1-22694-A-20_-5dB.wav,0.4771,0.3824,0.3596
1_484_plus_5-198411-G-20_-5dB.wav,0.4782,0.3958,0.4910
1_498_plus_4-59579-A-20_-5dB.wav,0.7276,0.7316,0.5523
1_89_plus_3-152007-D-20_-5dB.wav,0.4693,0.3495,0.1622
