filename,category,snr_level,method,processing_time_ms
1_103_plus_4-218304-A-25_-5dB.wav,footsteps,-5dB,Demucs,5509.04
1_173_plus_2-209473-A-25_-5dB.wav,footsteps,-5dB,Demucs,3759.86
1_205_plus_3-249913-A-25_-5dB.wav,footsteps,-5dB,Demucs,3727.77
1_212_plus_5-51149-A-25_-5dB.wav,footsteps,-5dB,Demucs,3712.05
1_354_plus_1-223162-A-25_-5dB.wav,footsteps,-5dB,Demucs,3683.61
1_37_plus_3-103597-A-25_-5dB.wav,footsteps,-5dB,Demucs,3702.83
1_400_plus_4-198962-A-25_-5dB.wav,footsteps,-5dB,Demucs,3720.04
1_476_plus_4-198962-B-25_-5dB.wav,footsteps,-5dB,Demucs,3877.72
1_47_plus_5-234263-A-25_-5dB.wav,footsteps,-5dB,Demucs,3903.81
1_98_plus_1-155858-E-25_-5dB.wav,footsteps,-5dB,Demucs,3937.12
