filename,category,snr_level,method,processing_time_ms
1_173_plus_1-208757-E-2_0dB.wav,pig,0dB,Wavelet,1556.4
1_181_plus_4-234644-A-2_0dB.wav,pig,0dB,Wavelet,2.5
1_207_plus_4-250869-A-2_0dB.wav,pig,0dB,Wavelet,2.0
1_228_plus_3-257858-A-2_0dB.wav,pig,0dB,Wavelet,2.5
1_36_plus_1-208757-A-2_0dB.wav,pig,0dB,Wavelet,1.5
1_391_plus_1-208757-C-2_0dB.wav,pig,0dB,Wavelet,1.5
1_393_plus_2-158746-D-2_0dB.wav,pig,0dB,Wavelet,2.0
1_431_plus_5-127990-A-2_0dB.wav,pig,0dB,Wavelet,1.5
1_440_plus_1-260640-B-2_0dB.wav,pig,0dB,Wavelet,1.5
1_453_plus_4-132383-A-2_0dB.wav,pig,0dB,Wavelet,1.5
