FILENAME,0dB,-5dB,Wiener
1_116_plus_5-220026-A-21_-5dB.wav,0.5723,0.5991,0.5790
1_136_plus_1-47274-A-21_-5dB.wav,0.6862,0.6181,0.5646
1_154_plus_4-156843-A-21_-5dB.wav,0.6011,0.5466,0.5062
1_167_plus_2-130978-A-21_-5dB.wav,0.6340,0.5485,0.5510
1_201_plus_4-157297-A-21_-5dB.wav,0.7722,0.7456,0.7919
1_205_plus_4-185619-A-21_-5dB.wav,0.8163,0.7462,0.7178
1_20_plus_1-29680-A-21_-5dB.wav,0.7901,0.7344,0.7375
1_320_plus_3-143119-A-21_-5dB.wav,0.5931,0.5333,0.5138
1_462_plus_2-109505-A-21_-5dB.wav,0.8286,0.7585,0.7233
1_77_plus_3-150231-A-21_-5dB.wav,0.2987,0.2457,0.3321
