FILENAME,0dB,-5dB,Spectral
1_161_plus_4-119648-A-48_-5dB.wav,0.7953,0.6810,0.6356
1_269_plus_5-160614-E-48_-5dB.wav,0.7794,0.7497,0.6104
1_323_plus_2-117615-E-48_-5dB.wav,0.8079,0.7505,0.6426
1_35_plus_1-25777-A-48_-5dB.wav,0.5628,0.4175,0.5046
1_373_plus_2-117616-A-48_-5dB.wav,0.4138,0.2808,0.5518
1_385_plus_2-165801-A-48_-5dB.wav,0.7094,0.6731,0.4430
1_402_plus_5-160614-F-48_-5dB.wav,0.5395,0.3210,0.3236
1_409_plus_4-119648-C-48_-5dB.wav,0.9854,0.9701,0.8942
1_441_plus_1-25781-A-48_-5dB.wav,0.8167,0.6830,0.6642
1_463_plus_1-115546-A-48_-5dB.wav,0.8326,0.6892,0.6021
