FILENAME,0dB,-5dB,Wiener
1_103_plus_4-218304-A-25_-5dB.wav,0.6781,0.5714,0.5652
1_173_plus_2-209473-A-25_-5dB.wav,0.5809,0.3800,0.2550
1_205_plus_3-249913-A-25_-5dB.wav,0.6315,0.5225,0.4457
1_212_plus_5-51149-A-25_-5dB.wav,0.5864,0.4233,0.4171
1_354_plus_1-223162-A-25_-5dB.wav,0.8970,0.8275,0.8228
1_37_plus_3-103597-A-25_-5dB.wav,0.6409,0.5671,0.4887
1_400_plus_4-198962-A-25_-5dB.wav,0.7997,0.5937,0.4887
1_476_plus_4-198962-B-25_-5dB.wav,0.5810,0.3503,0.2412
1_47_plus_5-234263-A-25_-5dB.wav,0.9128,0.8286,0.7249
1_98_plus_1-155858-E-25_-5dB.wav,0.5571,0.4087,0.3848
