FILENAME,0dB,-5dB,Wiener
1_237_plus_2-123712-A-33_0dB.wav,0.4630,0.3291,0.4725
1_23_plus_1-51805-C-33_0dB.wav,0.3315,0.3432,0.2944
1_293_plus_2-70344-A-33_0dB.wav,0.7763,0.6623,0.8085
1_321_plus_4-132839-A-33_0dB.wav,0.3151,0.2480,0.4262
1_407_plus_4-107120-A-33_0dB.wav,0.4306,0.3536,0.4516
1_454_plus_4-107122-A-33_0dB.wav,0.5021,0.5393,0.5461
1_48_plus_1-51805-A-33_0dB.wav,0.6027,0.4896,0.5261
1_498_plus_5-161270-A-33_0dB.wav,0.5879,0.6111,0.5150
1_4_plus_4-107117-A-33_0dB.wav,0.4591,0.4001,0.4233
1_94_plus_1-51805-H-33_0dB.wav,0.6049,0.5760,0.6953
