FILENAME,0dB,-5dB,Wavelet
1_11_plus_1-110389-A-0_-5dB.wav,0.7511,0.6081,0.4872
1_133_plus_5-208030-A-0_-5dB.wav,0.7175,0.6282,0.6009
1_142_plus_2-114587-A-0_-5dB.wav,0.6824,0.5643,0.5419
1_168_plus_3-144028-A-0_-5dB.wav,0.3589,0.3832,0.3676
1_278_plus_5-203128-A-0_-5dB.wav,0.8767,0.8068,0.4716
1_290_plus_4-182395-A-0_-5dB.wav,0.5393,0.4707,0.5073
1_310_plus_4-191687-A-0_-5dB.wav,0.7083,0.6036,0.6299
1_319_plus_4-207124-A-0_-5dB.wav,0.5481,0.4808,0.5326
1_402_plus_3-180256-A-0_-5dB.wav,0.6627,0.5995,0.3957
1_439_plus_5-231762-A-0_-5dB.wav,0.8361,0.5706,0.6799
