filename,category,snr_level,method,processing_time_ms
1_149_plus_1-17742-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,1774.26
1_25_plus_3-104632-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,3.01
1_269_plus_4-181563-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,2.51
1_310_plus_3-158476-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,4.51
1_373_plus_2-28314-B-12_-5dB.wav,crackling_fire,-5dB,Wiener,3.0
1_429_plus_5-193473-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,2.52
1_46_plus_5-215658-B-12_-5dB.wav,crackling_fire,-5dB,Wiener,2.5
1_484_plus_5-193473-B-12_-5dB.wav,crackling_fire,-5dB,Wiener,2.5
1_490_plus_2-18766-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,2.5
1_54_plus_3-65748-A-12_-5dB.wav,crackling_fire,-5dB,Wiener,1.61
