FILENAME,0dB,-5dB,DeepFilterNet
1_181_plus_5-194930-B-1_0dB.wav,0.7094,0.7317,0.3665
1_181_plus_5-194930-B-1_0dB_DeepFilterNet3.wav,0.7094,0.7317,0.4000
1_195_plus_4-170078-A-1_0dB.wav,0.7060,0.6677,0.4445
1_195_plus_4-170078-A-1_0dB_DeepFilterNet3.wav,0.7060,0.6677,0.4533
1_249_plus_5-200334-B-1_0dB.wav,0.6737,0.5383,0.6827
1_249_plus_5-200334-B-1_0dB_DeepFilterNet3.wav,0.6737,0.5383,0.5765
1_282_plus_1-26806-A-1_0dB.wav,0.5734,0.5325,0.4801
1_282_plus_1-26806-A-1_0dB_DeepFilterNet3.wav,0.5734,0.5325,0.5025
1_311_plus_5-234879-A-1_0dB.wav,0.3646,0.3106,0.6941
1_311_plus_5-234879-A-1_0dB_DeepFilterNet3.wav,0.3646,0.3106,0.7308
1_361_plus_2-96460-A-1_0dB.wav,0.2588,0.3004,0.3905
1_361_plus_2-96460-A-1_0dB_DeepFilterNet3.wav,0.2588,0.3004,0.7406
1_396_plus_5-233160-A-1_0dB.wav,0.4848,0.4255,0.3726
1_396_plus_5-233160-A-1_0dB_DeepFilterNet3.wav,0.4848,0.4255,0.3955
1_418_plus_5-194930-A-1_0dB.wav,0.8874,0.8406,0.5660
1_418_plus_5-194930-A-1_0dB_DeepFilterNet3.wav,0.8874,0.8406,0.5994
1_458_plus_3-134049-A-1_0dB.wav,0.4206,0.2313,0.3785
1_458_plus_3-134049-A-1_0dB_DeepFilterNet3.wav,0.4206,0.2313,0.3611
1_474_plus_4-208021-A-1_0dB.wav,0.8718,0.6150,0.4933
1_474_plus_4-208021-A-1_0dB_DeepFilterNet3.wav,0.8718,0.6150,0.4576
