filename,category,snr_level,method,processing_time_ms
1_114_plus_2-51173-A-35_0dB.wav,washing_machine,0dB,Wiener,1696.63
1_135_plus_1-32373-A-35_0dB.wav,washing_machine,0dB,Wiener,3.39
1_142_plus_3-156393-A-35_0dB.wav,washing_machine,0dB,Wiener,3.02
1_247_plus_1-49098-A-35_0dB.wav,washing_machine,0dB,Wiener,2.17
1_290_plus_3-182710-B-35_0dB.wav,washing_machine,0dB,Wiener,1.89
1_363_plus_5-207811-A-35_0dB.wav,washing_machine,0dB,Wiener,2.03
1_379_plus_2-102567-C-35_0dB.wav,washing_machine,0dB,Wiener,2.05
1_429_plus_5-141683-A-35_0dB.wav,washing_machine,0dB,Wiener,2.01
1_467_plus_3-151273-A-35_0dB.wav,washing_machine,0dB,Wiener,1.5
1_72_plus_1-27165-A-35_0dB.wav,washing_machine,0dB,Wiener,2.0
