FILENAME,0dB,-5dB,Wiener
1_101_plus_1-47250-B-41_-5dB.wav,0.3726,0.3287,0.2193
1_202_plus_1-19898-C-41_-5dB.wav,0.5225,0.4418,0.5411
1_220_plus_4-149294-B-41_-5dB.wav,0.4405,0.4352,0.4973
1_233_plus_5-216370-A-41_-5dB.wav,0.7400,0.6377,0.7899
1_304_plus_3-118658-B-41_-5dB.wav,0.4263,0.3676,0.3243
1_358_plus_4-169127-A-41_-5dB.wav,0.4781,0.4338,0.4236
1_385_plus_3-118656-A-41_-5dB.wav,0.5215,0.4810,0.4763
1_494_plus_2-50668-B-41_-5dB.wav,0.7950,0.6280,0.4852
1_56_plus_2-50667-A-41_-5dB.wav,0.7377,0.6901,0.7415
1_78_plus_4-157611-A-41_-5dB.wav,0.7210,0.6913,0.6992
