filename,category,snr_level,method,processing_time_ms
1_200_plus_3-159445-B-45_-5dB.wav,train,-5dB,DeepFilterNet,39.05
1_211_plus_4-165606-A-45_-5dB.wav,train,-5dB,DeepFilterNet,36.25
1_215_plus_1-88409-A-45_-5dB.wav,train,-5dB,DeepFilterNet,30.55
1_237_plus_2-122066-A-45_-5dB.wav,train,-5dB,DeepFilterNet,29.54
1_245_plus_3-135650-B-45_-5dB.wav,train,-5dB,DeepFilterNet,30.05
1_254_plus_4-168446-A-45_-5dB.wav,train,-5dB,DeepFilterNet,29.53
1_470_plus_4-165845-A-45_-5dB.wav,train,-5dB,DeepFilterNet,34.03
1_489_plus_2-135649-A-45_-5dB.wav,train,-5dB,DeepFilterNet,32.43
1_493_plus_4-165791-A-45_-5dB.wav,train,-5dB,DeepFilterNet,30.53
1_54_plus_4-165845-B-45_-5dB.wav,train,-5dB,DeepFilterNet,35.36
