FILENAME,0dB,-5dB,Spectral
1_130_plus_1-100038-A-14_-5dB.wav,0.2556,0.1962,0.2872
1_139_plus_2-122616-A-14_-5dB.wav,0.3333,0.2367,0.1786
1_251_plus_4-223125-A-14_-5dB.wav,0.1926,0.1753,0.1708
1_252_plus_4-223127-A-14_-5dB.wav,0.3817,0.3086,0.2309
1_270_plus_4-187769-A-14_-5dB.wav,0.8155,0.5433,0.4313
1_286_plus_3-155577-A-14_-5dB.wav,0.4184,0.2975,0.1498
1_317_plus_1-38560-A-14_-5dB.wav,0.3154,0.2969,0.2352
1_319_plus_4-182795-A-14_-5dB.wav,0.5240,0.4507,0.3027
1_430_plus_3-155579-A-14_-5dB.wav,0.1702,0.1601,0.1324
1_4_plus_4-159609-B-14_-5dB.wav,0.2632,0.2419,0.1684
