filename,category,snr_level,method,processing_time_ms
1_19_plus_5-208810-B-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,31.04
1_232_plus_3-144827-B-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,29.3
1_265_plus_1-91359-B-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,36.54
1_306_plus_4-167063-B-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,36.54
1_442_plus_2-102852-A-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,31.55
1_444_plus_5-213077-A-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,35.08
1_466_plus_3-164120-A-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,35.97
1_52_plus_1-91359-A-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,28.54
1_64_plus_1-39901-A-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,31.03
1_65_plus_4-182613-B-11_-5dB.wav,sea_waves,-5dB,DeepFilterNet,37.04
