FILENAME,0dB,-5dB,Wavelet
1_112_plus_1-58792-A-24_0dB.wav,0.5624,0.4579,0.3757
1_118_plus_3-125418-A-24_0dB.wav,0.6808,0.6057,0.6728
1_145_plus_1-52323-A-24_0dB.wav,0.8451,0.7738,0.7128
1_154_plus_3-146873-A-24_0dB.wav,0.5548,0.5952,0.3886
1_210_plus_4-155650-A-24_0dB.wav,0.6358,0.6221,0.6023
1_229_plus_5-251489-A-24_0dB.wav,0.4384,0.3866,0.4024
1_298_plus_3-151212-A-24_0dB.wav,0.4749,0.4797,0.6604
1_330_plus_4-169726-A-24_0dB.wav,0.7234,0.6335,0.7389
1_413_plus_1-63679-A-24_0dB.wav,0.5252,0.4601,0.4674
1_483_plus_2-98676-A-24_0dB.wav,0.7155,0.6474,0.5708
