FILENAME,0dB,-5dB,DeepFilterNet
1_100_plus_2-99796-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4189
1_124_plus_2-120333-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3380
1_130_plus_4-167155-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2684
1_292_plus_3-144106-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3535
1_364_plus_5-223099-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.6958
1_366_plus_5-244178-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.4209
1_410_plus_4-177243-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3087
1_416_plus_1-94231-B-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.2724
1_52_plus_5-223099-B-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.3517
1_56_plus_5-234923-A-32_-5dB_DeepFilterNet3.wav,0.0000,0.0000,0.6019
