FILENAME,0dB,-5dB,Wavelet
1_100_plus_4-102844-A-49_0dB.wav,0.3974,0.2393,0.5141
1_143_plus_2-60180-B-49_0dB.wav,0.6656,0.5212,0.6400
1_157_plus_1-7974-B-49_0dB.wav,0.3374,0.2811,0.3093
1_202_plus_5-253094-C-49_0dB.wav,0.5975,0.3340,0.7170
1_231_plus_1-9886-A-49_0dB.wav,0.3479,0.3025,0.3627
1_288_plus_3-96606-B-49_0dB.wav,0.5657,0.4214,0.4588
1_350_plus_4-102844-B-49_0dB.wav,0.6238,0.5758,0.6410
1_409_plus_1-7974-A-49_0dB.wav,0.5656,0.4934,0.7102
1_464_plus_3-102583-C-49_0dB.wav,0.7325,0.6300,0.7667
1_491_plus_2-84693-A-49_0dB.wav,0.4514,0.4465,0.3467
