filename,category,snr_level,method,processing_time_ms
1_161_plus_1-96890-A-37_0dB.wav,clock_alarm,0dB,Demucs,4363.85
1_211_plus_4-209698-A-37_0dB.wav,clock_alarm,0dB,Demucs,3135.14
1_236_plus_5-219242-B-37_0dB.wav,clock_alarm,0dB,Demucs,3256.16
1_268_plus_3-148297-A-37_0dB.wav,clock_alarm,0dB,Demucs,3149.17
1_292_plus_5-219242-A-37_0dB.wav,clock_alarm,0dB,Demucs,3122.14
1_295_plus_2-78562-A-37_0dB.wav,clock_alarm,0dB,Demucs,3130.76
1_31_plus_5-234247-A-37_0dB.wav,clock_alarm,0dB,Demucs,3140.65
1_383_plus_1-74517-A-37_0dB.wav,clock_alarm,0dB,Demucs,3116.36
1_475_plus_5-233645-A-37_0dB.wav,clock_alarm,0dB,Demucs,3112.5
1_65_plus_2-102435-A-37_0dB.wav,clock_alarm,0dB,Demucs,3068.09
