FILENAME,0dB,-5dB,Spectral
1_180_plus_3-169907-A-29_-5dB.wav,0.5926,0.4157,0.3589
1_184_plus_1-17295-A-29_-5dB.wav,0.6225,0.5304,0.3922
1_216_plus_2-94807-A-29_-5dB.wav,0.7381,0.7188,0.5629
1_245_plus_4-210593-A-29_-5dB.wav,0.5191,0.4438,0.4674
1_278_plus_2-122763-A-29_-5dB.wav,0.9204,0.8858,0.6090
1_302_plus_4-194808-A-29_-5dB.wav,0.7087,0.5070,0.5083
1_322_plus_5-259640-A-29_-5dB.wav,0.8684,0.7922,0.6245
1_413_plus_4-204202-A-29_-5dB.wav,0.6921,0.6853,0.3786
1_42_plus_2-92978-A-29_-5dB.wav,0.8312,0.7317,0.2710
1_79_plus_5-243036-A-29_-5dB.wav,0.7745,0.7046,0.5243
