filename,category,snr_level,method,processing_time_ms
1_107_plus_1-36164-A-26_-5dB.wav,laughing,-5dB,Demucs,5415.88
1_132_plus_4-164243-A-26_-5dB.wav,laughing,-5dB,Demucs,3722.11
1_159_plus_2-60791-A-26_-5dB.wav,laughing,-5dB,Demucs,3683.5
1_218_plus_5-244526-A-26_-5dB.wav,laughing,-5dB,Demucs,3664.26
1_296_plus_5-171118-A-26_-5dB.wav,laughing,-5dB,Demucs,3710.41
1_298_plus_2-79775-A-26_-5dB.wav,laughing,-5dB,Demucs,3668.75
1_314_plus_5-242932-A-26_-5dB.wav,laughing,-5dB,Demucs,3680.67
1_463_plus_1-30043-A-26_-5dB.wav,laughing,-5dB,Demucs,3678.35
1_482_plus_3-110536-A-26_-5dB.wav,laughing,-5dB,Demucs,3676.84
1_58_plus_5-263775-A-26_-5dB.wav,laughing,-5dB,Demucs,3706.99
