FILENAME,0dB,-5dB,Wavelet
1_173_plus_1-208757-E-2_-5dB.wav,0.6574,0.4995,0.5574
1_181_plus_4-234644-A-2_-5dB.wav,0.5989,0.5793,0.6008
1_207_plus_4-250869-A-2_-5dB.wav,0.6469,0.5840,0.5944
1_228_plus_3-257858-A-2_-5dB.wav,0.5196,0.5173,0.4546
1_36_plus_1-208757-A-2_-5dB.wav,0.7710,0.6609,0.6540
1_391_plus_1-208757-C-2_-5dB.wav,0.6556,0.4931,0.4933
1_393_plus_2-158746-D-2_-5dB.wav,0.7300,0.7057,0.7457
1_431_plus_5-127990-A-2_-5dB.wav,0.6535,0.6030,0.6106
1_440_plus_1-260640-B-2_-5dB.wav,0.6519,0.5464,0.6176
1_453_plus_4-132383-A-2_-5dB.wav,0.9412,0.8391,0.7649
