filename,category,snr_level,method,processing_time_ms
1_107_plus_1-36164-A-26_-5dB.wav,laughing,-5dB,Wiener,1824.13
1_132_plus_4-164243-A-26_-5dB.wav,laughing,-5dB,Wiener,2.16
1_159_plus_2-60791-A-26_-5dB.wav,laughing,-5dB,Wiener,2.55
1_218_plus_5-244526-A-26_-5dB.wav,laughing,-5dB,Wiener,2.01
1_296_plus_5-171118-A-26_-5dB.wav,laughing,-5dB,Wiener,2.5
1_298_plus_2-79775-A-26_-5dB.wav,laughing,-5dB,Wiener,2.0
1_314_plus_5-242932-A-26_-5dB.wav,laughing,-5dB,Wiener,1.5
1_463_plus_1-30043-A-26_-5dB.wav,laughing,-5dB,Wiener,4.52
1_482_plus_3-110536-A-26_-5dB.wav,laughing,-5dB,Wiener,1.49
1_58_plus_5-263775-A-26_-5dB.wav,laughing,-5dB,Wiener,1.5
