filename,category,snr_level,method,processing_time_ms
1_108_plus_4-174860-B-3_-5dB.wav,cow,-5dB,DeepFilterNet,39.09
1_119_plus_4-213915-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,30.99
1_122_plus_1-69422-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,31.54
1_188_plus_1-77160-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,30.55
1_268_plus_5-194899-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,38.06
1_280_plus_5-194899-C-3_-5dB.wav,cow,-5dB,DeepFilterNet,39.6
1_28_plus_3-124376-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,31.27
1_30_plus_3-152039-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,31.54
1_312_plus_4-174860-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,29.04
1_439_plus_2-104877-A-3_-5dB.wav,cow,-5dB,DeepFilterNet,30.73
