filename,category,snr_level,method,processing_time_ms
1_127_plus_1-47714-A-16_-5dB.wav,wind,-5dB,Wavelet,2457.26
1_144_plus_1-51036-A-16_-5dB.wav,wind,-5dB,Wavelet,3.01
1_150_plus_4-144083-B-16_-5dB.wav,wind,-5dB,Wavelet,3.0
1_286_plus_2-109371-B-16_-5dB.wav,wind,-5dB,Wavelet,2.87
1_370_plus_1-69760-A-16_-5dB.wav,wind,-5dB,Wavelet,3.52
1_43_plus_4-163606-A-16_-5dB.wav,wind,-5dB,Wavelet,2.5
1_450_plus_2-109371-C-16_-5dB.wav,wind,-5dB,Wavelet,2.01
1_477_plus_5-217186-C-16_-5dB.wav,wind,-5dB,Wavelet,3.03
1_53_plus_3-134699-B-16_-5dB.wav,wind,-5dB,Wavelet,2.52
1_75_plus_4-163609-A-16_-5dB.wav,wind,-5dB,Wavelet,2.51
