FILENAME,0dB,-5dB,Wiener
1_11_plus_1-39937-A-28_-5dB.wav,0.9162,0.8157,0.8323
1_162_plus_4-197454-A-28_-5dB.wav,0.8800,0.8496,0.8410
1_180_plus_3-124795-A-28_-5dB.wav,0.5308,0.5962,0.6113
1_259_plus_3-123086-A-28_-5dB.wav,0.6833,0.7028,0.6528
1_451_plus_4-191297-A-28_-5dB.wav,0.8170,0.7795,0.7600
1_45_plus_4-184237-A-28_-5dB.wav,0.9635,0.9474,0.8751
1_499_plus_4-197454-B-28_-5dB.wav,0.7103,0.5186,0.2709
1_69_plus_4-183882-B-28_-5dB.wav,0.8976,0.8367,0.8159
1_92_plus_5-233312-A-28_-5dB.wav,0.9102,0.8298,0.8500
1_98_plus_3-151557-A-28_-5dB.wav,0.5216,0.3838,0.3694
