FILENAME,0dB,-5dB,Spectral
1_150_plus_3-105236-A-7_0dB.wav,0.5701,0.4644,0.3972
1_275_plus_2-81970-A-7_0dB.wav,0.7652,0.6504,0.8019
1_324_plus_3-110913-B-7_0dB.wav,0.5064,0.3945,0.4165
1_369_plus_3-110913-A-7_0dB.wav,0.4076,0.4256,0.3273
1_387_plus_5-194932-A-7_0dB.wav,0.4646,0.4561,0.4287
1_400_plus_3-104761-B-7_0dB.wav,0.6839,0.3883,0.6997
1_464_plus_5-233787-A-7_0dB.wav,0.7396,0.4491,0.6253
1_494_plus_4-182314-B-7_0dB.wav,0.6417,0.6013,0.7619
1_69_plus_2-99955-A-7_0dB.wav,0.8442,0.7834,0.7380
1_88_plus_4-143118-A-7_0dB.wav,0.8539,0.7295,0.6534
