filename,category,snr_level,method,processing_time_ms
1_161_plus_4-119648-A-48_-5dB.wav,fireworks,-5dB,Wiener,1679.45
1_269_plus_5-160614-E-48_-5dB.wav,fireworks,-5dB,Wiener,3.52
1_323_plus_2-117615-E-48_-5dB.wav,fireworks,-5dB,Wiener,2.67
1_35_plus_1-25777-A-48_-5dB.wav,fireworks,-5dB,Wiener,2.0
1_373_plus_2-117616-A-48_-5dB.wav,fireworks,-5dB,Wiener,2.76
1_385_plus_2-165801-A-48_-5dB.wav,fireworks,-5dB,Wiener,2.52
1_402_plus_5-160614-F-48_-5dB.wav,fireworks,-5dB,Wiener,2.0
1_409_plus_4-119648-C-48_-5dB.wav,fireworks,-5dB,Wiener,1.52
1_441_plus_1-25781-A-48_-5dB.wav,fireworks,-5dB,Wiener,2.01
1_463_plus_1-115546-A-48_-5dB.wav,fireworks,-5dB,Wiener,1.5
